"Číslo účtu";"IBAN";"Číslo protiúčtu";"Banka protiúčtu";"Název účtu příjemce";"Splatnost";"Odesláno";"Částka";"Měna";"Variabilní Symbol";"Specifický Symbol";"Konstantní Symbol";"Zpráva pro příjemce";"Poznámka pro mě";"Název kategorie";"Typ transakce";"Název trvalého příkazu";"Popis platby";"Popis platby 2";"Bankovní reference"
"969696969/0600";"CZ4206000000000969696969";"2800861334";"2010";"Harag, Patrik";"11.02.2021";"12.02.2021";"7500,00";"CZK";"0";"";"";"Převod - Fio";"";"";"Příkaz k úhradě";"";"OKAMŽITÁ ÚHRADA ";"";"0969696969:20210212:00001:21021128751156877"
"969696969/0600";"CZ4206000000000969696969";"";"";"";"";"15.02.2021";"-1500,00";"CZK";"";"";"";"";"";"Vzdělání";"Použití platební karty";"";"ISKAM-WEB.ZCU.CZ/ PLZEN CZ";"";"0969696969:20210215:00001:210212V0655397"
"969696969/0600";"CZ4206000000000969696969";"2800861334";"2010";"Harag, Patrik";"11.02.2021";"11.02.2021";"1500,00";"CZK";"0";"";"";"Převod - Fio - na kolejné";"";"";"Příkaz k úhradě";"";"OKAMŽITÁ ÚHRADA ";"";"0969696969:20210211:00001:21021128751030020"
